ethnic_group,Sex,Admission_Method,age,Der_Financial_Year,spells,los,patients
J,2,Other,40-64,2025/26,3645,9007,1637
K,2,Elective,40-64,2025/26,17230,5013,8320
K,2,NonElective,40-64,2025/26,6721,21989,4723
K,2,Other,40-64,2025/26,851,2335,474
L,2,Elective,40-64,2025/26,40664,16201,19182
L,2,NonElective,40-64,2025/26,16849,53633,12225
L,2,Other,40-64,2025/26,3056,7482,1392
M,2,Elective,40-64,2025/26,34610,19064,13355
M,2,NonElective,40-64,2025/26,11838,62522,7852
M,2,Other,40-64,2025/26,1208,6229,588
N,2,Elective,40-64,2025/26,56367,23838,20379
N,2,NonElective,40-64,2025/26,21923,89347,14311
N,2,Other,40-64,2025/26,5069,17895,2333
P,2,Elective,40-64,2025/26,24272,9981,9478
P,2,NonElective,40-64,2025/26,8651,40081,6035
P,2,Other,40-64,2025/26,1161,6691,522
R,2,Elective,40-64,2025/26,10452,4047,5086
R,2,NonElective,40-64,2025/26,3042,11508,2319
R,2,Other,40-64,2025/26,735,2188,380
S,2,Elective,40-64,2025/26,56643,23987,27205
S,2,NonElective,40-64,2025/26,22347,79617,16407
S,2,Other,40-64,2025/26,3475,8898,1638
A,2,Elective,65+,2025/26,1827291,838373,876506
A,2,NonElective,65+,2025/26,1174486,9394993,737606
A,2,Other,65+,2025/26,25577,535687,21761
B,2,Elective,65+,2025/26,22044,15042,10513
B,2,NonElective,65+,2025/26,14291,118744,8731
B,2,Other,65+,2025/26,270,4943,226
C,2,Elective,65+,2025/26,73901,33741,32295
C,2,NonElective,65+,2025/26,42414,335996,27412
C,2,Other,65+,2025/26,901,19157,795
D,2,Elective,65+,2025/26,2701,1532,1127
D,2,NonElective,65+,2025/26,1432,10724,932
D,2,Other,65+,2025/26,32,1072,31
E,2,Elective,65+,2025/26,1662,615,617
E,2,NonElective,65+,2025/26,795,5526,473
E,2,Other,65+,2025/26,15,375,14
F,2,Elective,65+,2025/26,2306,1337,1147
F,2,NonElective,65+,2025/26,1187,9500,774
F,2,Other,65+,2025/26,39,856,34
G,2,Elective,65+,2025/26,5695,5051,2515
G,2,NonElective,65+,2025/26,2603,21684,1742
G,2,Other,65+,2025/26,335,8875,315
H,2,Elective,65+,2025/26,41746,20787,19551
H,2,NonElective,65+,2025/26,23988,164102,15255
H,2,Other,65+,2025/26,478,9269,437
J,2,Elective,65+,2025/26,20960,7539,8969
J,2,NonElective,65+,2025/26,14484,90637,8997
J,2,Other,65+,2025/26,177,3054,153
K,2,Elective,65+,2025/26,7078,1984,2687
K,2,NonElective,65+,2025/26,4185,28952,2566
K,2,Other,65+,2025/26,72,1000,58
L,2,Elective,65+,2025/26,21983,10927,9259
L,2,NonElective,65+,2025/26,11311,82894,7419
L,2,Other,65+,2025/26,292,5126,231
M,2,Elective,65+,2025/26,24581,11355,8821
M,2,NonElective,65+,2025/26,12767,113137,7931
M,2,Other,65+,2025/26,212,4786,194
N,2,Elective,65+,2025/26,18288,7065,5677
N,2,NonElective,65+,2025/26,7294,61320,4547
N,2,Other,65+,2025/26,166,3271,130
P,2,Elective,65+,2025/26,10628,5059,3192
P,2,NonElective,65+,2025/26,4257,36429,2730
P,2,Other,65+,2025/26,77,2896,72
R,2,Elective,65+,2025/26,8710,3136,3190
R,2,NonElective,65+,2025/26,2685,22359,1813
R,2,Other,65+,2025/26,62,1305,49
S,2,Elective,65+,2025/26,30262,13515,14229
S,2,NonElective,65+,2025/26,17481,142225,12005
S,2,Other,65+,2025/26,454,10501,406
